ref;latOSM;lngOSM;operator;latLP;lngLP;diff_radians;dif_metres;numero;rue;ville
A0A3E8;45.7791326;5.5487773;La Poste;45.7790800899821;5.54868904398678;1,41208E-06;9,006225069;0;HAMEAU DE CERIN;MARCHAMP
A0A3Q5;45.9593964;5.8314904;La Poste;45.9594014896269;5.83153942982616;6,01608E-07;3,837058582;0;RUE TIERSOT;SEYSSEL
A0B0R2;43.3563763;1.8212626;La Poste;43.3565935417934;1.82102218106228;4,86668E-06;31,03970837;111;VOIE D AQUITAINE;MONTFERRAND
A0B2M9;43.3646041;1.8214164;La Poste;43.3466307356081;1.85136990077249;0,000492846;3143,370334;6;PLACE DE LA MAIRIE;MONTFERRAND
A0B4R8;44.3527662;2.5641618;La Poste;44.3528082530419;2.56413699589918;7,96759E-07;5,081731388;0;RUE JEAN FERRIEU;RODEZ
A0B6J1;44.3455381;2.5717892;La Poste;44.3458795042846;2.57242691726743;9,94291E-06;63,41584928;12;RUE SARRUS;RODEZ
A0B6J2;44.3476381;2.5741451;La Poste;44.3480572185087;2.57454809080747;8,87737E-06;56,61984035;1;PLACE DE LA MADELEINE;RODEZ
A0B6K2;44.3533766;2.5705432;La Poste;44.3531685340887;2.5716189103663;1,39072E-05;88,70011356;19;RUE PASTEUR;RODEZ
A0B6K4;44.3494425;2.575464;La Poste;44.3496269092436;2.57552146197697;3,29747E-06;21,03125772;0;CARREFOUR SAINT ETIENNE;RODEZ
A0B6K5;44.3489138;2.5759898;La Poste;44.3488897072315;2.57602100006457;5,73259E-07;3,656246649;7;PLACE DU BOURG;RODEZ
A0B6K6;44.3555687;2.5763554;La Poste;44.3556595903265;2.57641359744562;1,74465E-06;11,12734813;67;RUE SAINT CYRICE;RODEZ
A0B6M1;44.3694263;2.5888087;La Poste;44.3726317036479;2.58013978836131;0,000121767;776,6274916;0;BOULEVARD DES BALQUIERES;ONET LE CHATEAU
A0C2C8;43.2962472;5.3812945;La Poste;43.2962395737636;5.38127671306762;2,62362E-07;1,673344939;28;BOULEVARD GARIBALDI;MARSEILLE 01
A0D1J7;49.042831;0.190333;La Poste;49.042895103218;0.190133115545189;2,54579E-06;16,2370376;0;QUARTIER DE L ECOLE;LE MESNIL GERMAIN
A0D7B0;45.0829166;2.7501567;La Poste;45.0826079686672;2.75014632219273;5,38815E-06;34,36559089;0;ROUTE DE FONT D ALAGNON;LAVEISSIERE
